ProgramCounter,instruction,DEC,HEX,BIN
0,"[<INST.ADDI: 0>, 10, 0, 0]",1299,0x513,00000000000000000000010100010011
4,"[<INST.ADDI: 0>, 5, 0, 0]",659,0x293,00000000000000000000001010010011
8,"[<INST.ADDI: 0>, 6, 0, 42]",44040979,0x2a00313,00000010101000000000001100010011
12,"[<INST.ADDI: 0>, 10, 10, 1]",1377555,0x150513,00000000000101010000010100010011
16,"[<INST.ADDI: 0>, 5, 5, 1]",1213075,0x128293,00000000000100101000001010010011
20,"[<INST.BEQ: 15>, 5, 6, 28]",6456419,0x628463,00000000011000101000010001100011
24,"[<INST.J: 14>, 12]",4284477551,0xff5ff06f,11111111010111111111000001101111
28,"[<INST.JAL: 13>, 36]",8388847,0x8000ef,00000000100000000000000011101111
32,"[<INST.ADDI: 0>, 10, 0, -1]",4293920019,0xfff00513,11111111111100000000010100010011
36,"[<INST.MOVE: 2>, 5, 0]",691,0x2b3,00000000000000000000001010110011
40,"[<INST.MOVE: 2>, 6, 0]",819,0x333,00000000000000000000001100110011
44,"[<INST.MOVE: 2>, 7, 0]",947,0x3b3,00000000000000000000001110110011
48,"[<INST.MOVE: 2>, 28, 0]",3635,0xe33,00000000000000000000111000110011
52,"[<INST.MOVE: 2>, 29, 0]",3763,0xeb3,00000000000000000000111010110011
56,"[<INST.MOVE: 2>, 30, 0]",3891,0xf33,00000000000000000000111100110011
60,"[<INST.MOVE: 2>, 31, 0]",4019,0xfb3,00000000000000000000111110110011
